year,species,location,mt_escape,y,time,y_10000,source
1971,Pink,BeringSea,153.00000000000003,153.00000000000003,20,0.015300000000000003,"For details of collection, contact Dr. Greg Ruggerone"
1971,Pink,CentralAK,10790,10790,20,1.079,"For details of collection, contact Dr. Greg Ruggerone"
1971,Pink,SEAK,15792,15792,20,1.5792,"For details of collection, contact Dr. Greg Ruggerone"
1971,Pink,BCWC,9976,9976,20,0.9976,"For details of collection, contact Dr. Greg Ruggerone"
1971,Chum,BeringSea,10764.000000000002,10764.000000000002,20,1.0764000000000002,"For details of collection, contact Dr. Greg Ruggerone"
1971,Chum,CentralAK,6280,6280,20,0.628,"For details of collection, contact Dr. Greg Ruggerone"
1971,Chum,SEAK,9024,9024,20,0.9024,"For details of collection, contact Dr. Greg Ruggerone"
1971,Chum,BCWC,13206,13206,20,1.3206,"For details of collection, contact Dr. Greg Ruggerone"
1971,Sockeye,BeringSea,20400.000000000004,20400.000000000004,20,2.0400000000000005,"For details of collection, contact Dr. Greg Ruggerone"
1971,Sockeye,CentralAK,10032,10032,20,1.0032,"For details of collection, contact Dr. Greg Ruggerone"
1971,Sockeye,SEAK,2029.9999999999998,2029.9999999999998,20,0.20299999999999999,"For details of collection, contact Dr. Greg Ruggerone"
1971,Sockeye,BCWC,62440,62440,20,6.244,"For details of collection, contact Dr. Greg Ruggerone"
1972,Pink,BeringSea,592,592,21,0.0592,"For details of collection, contact Dr. Greg Ruggerone"
1972,Pink,CentralAK,8427.999999999998,8427.999999999998,21,0.8427999999999998,"For details of collection, contact Dr. Greg Ruggerone"
1972,Pink,SEAK,11927.999999999998,11927.999999999998,21,1.1927999999999999,"For details of collection, contact Dr. Greg Ruggerone"
1972,Pink,BCWC,14038.999999999998,14038.999999999998,21,1.4039,"For details of collection, contact Dr. Greg Ruggerone"
1972,Chum,BeringSea,10948,10948,21,1.0948,"For details of collection, contact Dr. Greg Ruggerone"
1972,Chum,CentralAK,7458.000000000001,7458.000000000001,21,0.7458000000000001,"For details of collection, contact Dr. Greg Ruggerone"
1972,Chum,SEAK,9950,9950,21,0.995,"For details of collection, contact Dr. Greg Ruggerone"
1972,Chum,BCWC,34790,34790,21,3.479,"For details of collection, contact Dr. Greg Ruggerone"
1972,Sockeye,BeringSea,9380,9380,21,0.938,"For details of collection, contact Dr. Greg Ruggerone"
1972,Sockeye,CentralAK,7938.000000000001,7938.000000000001,21,0.7938000000000001,"For details of collection, contact Dr. Greg Ruggerone"
1972,Sockeye,SEAK,1710,1710,21,0.171,"For details of collection, contact Dr. Greg Ruggerone"
