units,year,name,location,species,family,y,time,y_10000
metric_tons_wet,1973,Bering Sea_Pink salmon,BeringSea,Pink,salmon,449,22,0.0449
metric_tons_wet,1973,Central AK_Pink salmon,CentralAK,Pink,salmon,9644,22,0.9644
metric_tons_wet,1973,SEAK_Pink salmon,SEAK,Pink,salmon,13194,22,1.3194
metric_tons_wet,1973,BCWC_Pink salmon,BCWC,Pink,salmon,9968,22,0.9968
metric_tons_wet,1973,Bering Sea_Chum salmon,BeringSea,Chum,salmon,13130,22,1.313
metric_tons_wet,1973,Central AK_Chum salmon,CentralAK,Chum,salmon,11479,22,1.1479
metric_tons_wet,1973,SEAK_Chum salmon,SEAK,Chum,salmon,11732,22,1.1732
metric_tons_wet,1973,BCWC_Chum salmon,BCWC,Chum,salmon,34033,22,3.4033
metric_tons_wet,1973,Bering Sea_Sockeye salmon,BeringSea,Sockeye,salmon,6596,22,0.6596
metric_tons_wet,1973,Central AK_Sockeye salmon,CentralAK,Sockeye,salmon,9619,22,0.9619
metric_tons_wet,1973,SEAK_Sockeye salmon,SEAK,Sockeye,salmon,2060,22,0.206
metric_tons_wet,1973,BCWC_Sockeye salmon,BCWC,Sockeye,salmon,22134,22,2.2134
metric_tons_wet,1974,Bering Sea_Pink salmon,BeringSea,Pink,salmon,5189,23,0.5189
metric_tons_wet,1974,Central AK_Pink salmon,CentralAK,Pink,salmon,12643,23,1.2643
metric_tons_wet,1974,SEAK_Pink salmon,SEAK,Pink,salmon,13196,23,1.3196
metric_tons_wet,1974,BCWC_Pink salmon,BCWC,Pink,salmon,14222,23,1.4222
metric_tons_wet,1974,Bering Sea_Chum salmon,BeringSea,Chum,salmon,14072,23,1.4072
metric_tons_wet,1974,Central AK_Chum salmon,CentralAK,Chum,salmon,7249,23,0.7249
metric_tons_wet,1974,SEAK_Chum salmon,SEAK,Chum,salmon,11522,23,1.1522
metric_tons_wet,1974,BCWC_Chum salmon,BCWC,Chum,salmon,21443,23,2.1443
metric_tons_wet,1974,Bering Sea_Sockeye salmon,BeringSea,Sockeye,salmon,25707,23,2.5707
metric_tons_wet,1974,Central AK_Sockeye salmon,CentralAK,Sockeye,salmon,8669,23,0.8669
metric_tons_wet,1974,SEAK_Sockeye salmon,SEAK,Sockeye,salmon,1917,23,0.1917
metric_tons_wet,1974,BCWC_Sockeye salmon,BCWC,Sockeye,salmon,22605,23,2.2605
metric_tons_wet,1975,Bering Sea_Pink salmon,BeringSea,Pink,salmon,337,24,0.0337
metric_tons_wet,1975,Central AK_Pink salmon,CentralAK,Pink,salmon,13946,24,1.3946
metric_tons_wet,1975,SEAK_Pink salmon,SEAK,Pink,salmon,15612,24,1.5612
metric_tons_wet,1975,BCWC_Pink salmon,BCWC,Pink,salmon,29037,24,2.9037
metric_tons_wet,1975,Bering Sea_Chum salmon,BeringSea,Chum,salmon,19386,24,1.9386
metric_tons_wet,1975,Central AK_Chum salmon,CentralAK,Chum,salmon,7416,24,0.7416
