chemical,year,species,location,median,low75,high75,low50,high50,type,group,units
Hg,1994,Chinook,CentralAK,44336.34557878365,31304.44419756921,59811.55342893042,36611.81450672658,53051.1412113563,Contaminants,Species,Kg
Hg,1994,Chinook,SEAK,41469.062666540194,29066.209468833153,56636.398313012265,34034.88144287435,49473.07363910641,Contaminants,Species,Kg
Hg,1994,Chum,BCWC,1145824.3923871838,798017.3663252209,1582097.865524467,931814.9163442176,1383002.6771090587,Contaminants,Species,Kg
Hg,1994,Chum,BeringSea,531141.7870121538,377957.74947316357,735176.6946513297,442082.55896704795,644197.8391578856,Contaminants,Species,Kg
Hg,1994,Chum,CentralAK,283232.7763873913,197241.1077673306,380372.5299708124,229093.17623840534,338014.89537923335,Contaminants,Species,Kg
Hg,1994,Chum,SEAK,359121.8045684615,247264.5321465449,513967.48666251806,292290.22939426184,449151.4782532466,Contaminants,Species,Kg
Hg,1994,Coho,BCWC,143443.70258289028,96879.38160512137,200718.50664298682,115101.65837022391,173842.78112054768,Contaminants,Species,Kg
Hg,1994,Coho,BeringSea,63945.41237443058,43567.91287249461,87125.91492315484,52481.62219678042,76892.4637416272,Contaminants,Species,Kg
Hg,1994,Coho,CentralAK,148410.74165104056,102134.31746577748,200187.38237302008,117643.63430101836,176647.2298013978,Contaminants,Species,Kg
Hg,1994,Coho,SEAK,137871.65012729092,93981.78842283932,187615.38273757132,110752.9976560634,166112.3885551187,Contaminants,Species,Kg
Hg,1994,Pink,BCWC,292663.8710770863,187805.38496982123,433523.23941786116,231723.12901997747,367586.2845003716,Contaminants,Species,Kg
Hg,1994,Pink,BeringSea,42621.5401300712,27831.582456614586,62820.41925012616,33183.565911851576,53436.273829846665,Contaminants,Species,Kg
Hg,1994,Pink,CentralAK,319269.9834104375,205802.44140528888,471170.5973271718,250540.33555012103,407969.0808733892,Contaminants,Species,Kg
Hg,1994,Pink,SEAK,592786.995680745,379346.76707388536,862481.3516686907,456469.1872271012,729281.8147835999,Contaminants,Species,Kg
Hg,1994,Sockeye,BCWC,648723.5641562948,454539.6883096346,862868.732194399,538841.4880776369,780484.0503747787,Contaminants,Species,Kg
Hg,1994,Sockeye,BeringSea,1005913.8219414467,716231.7731758805,1352821.6555104863,831742.9169781427,1209641.8871534038,Contaminants,Species,Kg
Hg,1994,Sockeye,CentralAK,443860.4379777694,312644.6681148199,593224.0273057481,363716.8227457426,518455.18884324364,Contaminants,Species,Kg
Hg,1994,Sockeye,SEAK,56826.250323512984,40617.13244299972,74220.10195440991,47065.33767254855,66120.48241370115,Contaminants,Species,Kg
Hg,1995,Chinook,BCWC,559369.3211653276,396317.78518573876,761332.4647866276,467098.9037168113,674945.9651013836,Contaminants,Species,Kg
Hg,1995,Chinook,BeringSea,210603.26669901027,147074.29910484987,287325.53099498316,171645.48502274544,251605.37664178698,Contaminants,Species,Kg
Hg,1995,Chinook,CentralAK,43497.46767980418,30884.185381258678,59273.45654747152,36163.48240366523,52156.93168052161,Contaminants,Species,Kg
Hg,1995,Chinook,SEAK,41656.039525702974,29118.1950048453,56178.477264814515,34126.187061534285,49263.02122736903,Contaminants,Species,Kg
Hg,1995,Chum,BCWC,1151788.9576862971,800397.6319198211,1598810.3128407486,941646.3021370786,1385860.6211567712,Contaminants,Species,Kg
Hg,1995,Chum,BeringSea,535041.3207246854,378636.4261051954,742133.0933601845,446560.9940894757,644665.838129998,Contaminants,Species,Kg
Hg,1995,Chum,CentralAK,282596.9320587024,198134.11708800055,381875.32621427387,230746.7272178013,338978.4987626211,Contaminants,Species,Kg
Hg,1995,Chum,SEAK,421251.36088335566,285170.2339597052,594502.8078791705,339326.7622339823,512949.3468184973,Contaminants,Species,Kg
Hg,1995,Coho,BCWC,149663.60605499364,101590.9903485801,207107.46752717355,119065.30206640887,179649.10276866754,Contaminants,Species,Kg
Hg,1995,Coho,BeringSea,58922.24301091132,40398.38998302323,80434.04846686273,48050.10055761374,70252.24660667602,Contaminants,Species,Kg
Hg,1995,Coho,CentralAK,142530.61901483912,97203.76020188755,192925.96372382925,114437.18995673316,170971.47584599818,Contaminants,Species,Kg
Hg,1995,Coho,SEAK,138768.73974872287,94843.88287789741,188731.21625600933,110932.48484999913,166654.3652419072,Contaminants,Species,Kg
Hg,1995,Pink,BCWC,297857.93127330265,192095.6911022796,440179.58726569114,234583.0767520129,374907.52299694135,Contaminants,Species,Kg
Hg,1995,Pink,BeringSea,42192.49633184689,27691.604503123282,62620.706796168815,32730.76274986616,53154.236366742254,Contaminants,Species,Kg
Hg,1995,Pink,CentralAK,326492.6147923641,208191.6994154862,480346.56431457214,255482.52770369302,412958.7385397223,Contaminants,Species,Kg
Hg,1995,Pink,SEAK,612461.6744629634,391779.0168480038,892680.679891363,471205.8402108772,760660.8530649436,Contaminants,Species,Kg
Hg,1995,Sockeye,BCWC,651845.2226059616,461775.74390500906,870784.3934144943,544682.2595990553,785776.7576953766,Contaminants,Species,Kg
Hg,1995,Sockeye,BeringSea,992254.8558938024,709213.8630946609,1333728.6379238525,820645.9464189475,1186680.2447028528,Contaminants,Species,Kg
Hg,1995,Sockeye,CentralAK,451487.9333695997,319374.6654499381,599944.5345770284,370829.3072128142,529883.41273223,Contaminants,Species,Kg
Hg,1995,Sockeye,SEAK,55985.050194296324,40087.86560822838,73557.36741712366,46421.813558232694,65274.351681348955,Contaminants,Species,Kg
Hg,1996,Chinook,BCWC,572386.7695184646,403106.2959970562,777035.9204481078,473620.6636479267,685556.5341406928,Contaminants,Species,Kg
Hg,1996,Chinook,BeringSea,210858.92912360263,148031.9557170829,286825.3492368313,173347.7009579992,251865.0815859976,Contaminants,Species,Kg
Hg,1996,Chinook,CentralAK,42508.68937361085,29934.33048850425,57847.93771514276,35378.4194993422,51136.12467645697,Contaminants,Species,Kg
