chemical,year,species,location,median,low75,high75,low50,high50,type,group,units
PBDEs,2001,Chum,SEAK,6865.415949905486,2885.1507719078786,18337.014891337567,4238.113373866157,11580.070648593524,Contaminants,Species,kg
PBDEs,2001,Coho,BCWC,2849.640394449318,1221.8249300924601,7174.087868378676,1728.5171369347322,4814.172748375674,Contaminants,Species,kg
PBDEs,2001,Coho,BeringSea,446.2835078547416,189.68310120146901,1082.048052836047,264.82095678895723,741.7167727703035,Contaminants,Species,kg
PBDEs,2001,Coho,CentralAK,1694.9357317275262,704.5648229091405,4237.178301724108,1011.0247925047611,2862.3847534066176,Contaminants,Species,kg
PBDEs,2001,Coho,SEAK,1757.8152263172633,737.3650288180911,4462.299244306114,1078.210669667949,2932.8137329443075,Contaminants,Species,kg
PBDEs,2001,Pink,BCWC,17441.088292005057,7206.789021662581,44360.366144781496,10072.704551208099,29515.48810007254,Contaminants,Species,kg
PBDEs,2001,Pink,BeringSea,2224.116151390678,870.230782019283,5706.768235794389,1279.8346730807323,3722.4093034541925,Contaminants,Species,kg
PBDEs,2001,Pink,CentralAK,19655.51913444668,7893.512330383261,49957.64886146655,11131.168240924644,31781.66500935955,Contaminants,Species,kg
PBDEs,2001,Pink,SEAK,37873.19503614183,15246.31910787754,96653.52095497641,22334.340730803044,62752.898944409724,Contaminants,Species,kg
PBDEs,2001,Sockeye,BCWC,12924.688027165339,6279.76398005673,27885.518061459545,8505.567001376483,19708.351337575976,Contaminants,Species,kg
PBDEs,2001,Sockeye,BeringSea,17275.5884971956,8343.95977438262,36706.08100761158,11588.431691869426,26555.328435140716,Contaminants,Species,kg
PBDEs,2001,Sockeye,CentralAK,9216.743574611195,4601.070801063552,19808.32102796917,6138.314482947767,14028.26820734177,Contaminants,Species,kg
PBDEs,2001,Sockeye,SEAK,968.072358419468,472.62610602539775,2070.840419625496,652.172051555066,1459.2609439711991,Contaminants,Species,kg
PBDEs,2002,Chinook,BCWC,48980.58113030033,22213.197431125212,91584.83813399999,31318.08574717694,72022.59155775621,Contaminants,Species,kg
PBDEs,2002,Chinook,BeringSea,14782.21655477205,6831.440988681734,29409.936461595018,9681.325117811122,21971.76377950341,Contaminants,Species,kg
PBDEs,2002,Chinook,CentralAK,2733.081877671193,1248.1703455152144,5139.8928628779795,1785.2541041727768,4069.0626339335026,Contaminants,Species,kg
PBDEs,2002,Chinook,SEAK,2810.0010108501956,1289.8188028968736,5306.310555184565,1792.4473437187821,4034.909893891281,Contaminants,Species,kg
