species,year,location,low75,median,high75,low50,high50,.group,type,panel,fill,data,y,x,PANEL,shape,colour,size,alpha,stroke,facet
Coho,1986,NA,637.4623231244097,744.6226016532764,913.3039225225815,677.0034157444403,833.1903368760388,11,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Pink,1986,NA,3839.2676242595503,4358.66951197185,4917.745884264543,4043.314126137211,4693.189622295924,171,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Sockeye,1986,NA,3425.3669861199432,3935.7232315578008,4565.8872458463575,3628.1546065519574,4321.261087435267,131,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Chinook,1987,NA,673.6553352993892,798.7977272494959,943.5354548694011,717.5954373135876,884.3362512825867,52,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Chum,1987,NA,3007.52741592115,3565.934892699739,4352.176312492189,3202.4625691537153,3961.9495437077103,92,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Coho,1987,NA,651.9753874423087,759.8290905914416,933.7151333008429,692.7856691741063,853.0297637792899,12,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Pink,1987,NA,3905.7329662791694,4452.812410668583,5014.663076467846,4130.171792696053,4793.784899137127,172,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Sockeye,1987,NA,3433.421084905581,3932.9985038098293,4572.962884493951,3642.534569442909,4325.892417066808,132,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Chinook,1988,NA,692.3205491770208,820.3473538606858,972.1877990129914,739.0982848258665,906.9747410959147,53,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Chum,1988,NA,3061.7932757040253,3612.931557720188,4422.62855492336,3256.945051343981,4027.452187871891,93,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Coho,1988,NA,664.8603144156393,772.8343210335613,946.3721926545562,707.3868539690502,867.7964351072358,13,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Pink,1988,NA,3970.3677860440976,4541.9453094338205,5113.481402764672,4217.99647437059,4883.52692397284,173,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Sockeye,1988,NA,3436.360394374487,3942.0364764997034,4593.1584443036,3650.932820373337,4311.934059779269,133,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Chinook,1989,NA,713.4896333641034,839.413775674575,1004.1309031271475,758.1436379857469,929.4638949557251,54,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Chum,1989,NA,3091.277494798124,3651.7316990541594,4472.328180028319,3296.575211899518,4085.4618568377277,94,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Coho,1989,NA,673.3735924302514,786.0101569317112,964.7806664327546,717.8379897249363,883.3294473960017,14,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Pink,1989,NA,4057.677911287508,4631.449961584278,5239.140202095094,4298.81573975638,4977.895677164097,174,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Sockeye,1989,NA,3439.735121412078,3946.8703751163866,4596.673635242083,3648.816575730806,4308.700019460767,134,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Chinook,1990,NA,731.8340109110563,866.5105383097665,1028.6747446898412,780.4513608557622,956.7413159656428,55,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Chum,1990,NA,3141.1391841900972,3693.932218620974,4530.5733772190515,3358.5149292781553,4155.990993081987,95,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Coho,1990,NA,682.3134670918446,795.6704955576527,974.8754877287237,725.1980282825986,887.3432477439569,15,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Pink,1990,NA,4134.691840878539,4722.234921982284,5345.64591185698,4396.786761176061,5075.095354401739,175,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Sockeye,1990,NA,3434.3571476739517,3948.1278176504015,4598.043821919916,3648.5785329413575,4298.675114692318,135,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Chinook,1991,NA,748.6302643754326,888.7718424573097,1058.5250760873562,801.5652943443647,979.1983440305787,56,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Chum,1991,NA,3190.5961904176775,3765.3411243174596,4621.768472828651,3425.2600538795673,4230.373614810052,96,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Coho,1991,NA,688.428807341804,802.291248033612,985.7472743047308,732.583677792824,898.9288400184739,16,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Pink,1991,NA,4220.747832906621,4833.381715837029,5450.928309994335,4485.047046886108,5183.409856808243,176,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Sockeye,1991,NA,3433.818743240889,3943.678710802303,4602.661013411771,3647.9101890781117,4285.504282775966,136,Nutrients,e) Species nutrients,#CF406FFF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Chinook,1992,NA,763.8418119145142,908.6381175663508,1079.8868365214275,823.3588226839826,998.2789944683839,57,Nutrients,e) Species nutrients,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
